ID,前文,題幹,選項1,選項2,選項3,選項4
12537,去歐洲旅行，絕對袂使無去坐瑞士的「冰河火車」！伊是全世界駛了上慢的觀光火車，欲八點鐘的旅程，佇海拔五百公尺到兩千外公尺懸中間起落；連啉酒杯仔也設計做有角度，通應付有懸低差的崎。沿途通欣賞阿爾卑斯山上媠的一面，穿過細細的庄頭、山谷、橋墩、水沖，共世界遺跡和人講「人間仙境」的瑞士美景看透透。,根據文章，下面對冰河列車的描述佗一个是正確的？,伊是世界速度上緊的列車之一,坐一逝觀光列車的時間愛四點鐘,列車內的酒杯仔特別設計做斜角,冰河列車駛佇懸度一百公尺到五百公尺
22537,"兒：「厝--lìn狀況按怎？」
母：「彼就愛看這季的蕃薯矣。」
兒：「大兄的跤咧？」
母：「醫生講醫袂好，愛剁掉，毋過嘛是愛看這季的蕃薯。」",請問這段對話內底，是按怎一直提起愛看番薯？,番薯收成好才有錢,番薯的醫術高明,阿母聽番薯的話,大兄聽蕃薯的話
32537,對1980年代開始，臺灣人時行佇中秋烘肉，佇中秋暝的前後，家家戶戶會圍佇外口埕抑是徛家的亭仔跤烘肉，親情五十做伙團圓放煙火慶祝中秋節。佇韓國，中秋節閣號做「秋夕」抑是「仲秋節」，是韓國重要的傳統節日之一。逐家會紮拄收成的五穀佮果子去培墓祭祖。嘛會轉去故鄉看親人，共親情五十送禮，所以英文嘛共韓國的中秋節號做「韓國的感恩節」。,韓國人嘛有咧過中秋節，請問韓國人佇中秋節時行做啥物活動？,烘肉,扒龍船,祭祖,放煙火
42537,"查某：你看我穿這領較好抑是彼領？
查埔：我感覺你上好穿短褲，咱明仔載欲去福隆海邊仔。",請問查埔人為啥物建議查某人明仔載穿短褲？,欲耍水,天氣熱,較好活動,較四序
52537,傳說佇清朝道光年間，福建有一个地方官員為著巴結對北京來考察的福建布政使，就叫廚子共家己所有收集著的大大細細幾若十種的食材，囥咧紹興酒甕仔內，用文文仔火沓沓仔煨，煨甲共所有食材的精華攏慢慢仔提煉出來。當當這个菜捀上桌的時陣，酒甕仔一下開，逐種食材互相作用，特別的芳味衝對鼻空，布政使對這項菜呵咾甲會觸舌。有一首詩講：『壇啟葷香飄四鄰，佛聞棄禪跳牆來。』這項菜就按呢hőng叫做佛跳牆。,請問這个菜號做佛跳牆的意思是啥物？,會當修行悟道。,食材太好食，連修佛的人嘛枵饞流喙瀾。,予人驚惶所以跳牆仔走去。,佛講：不可講，只好兇兇狂狂走去。
62537,我佇佳冬的蕭家舊厝，看著一幅書法，內容是：散赤是一種病，若毋是因為貧惰，就是無知，上䆀--的是兩項攏著。散赤毋但是物質佮金錢的欠缺，上蓋要緊的是精神、信心、勇氣、意志佮知識無夠，所以講散赤毋但是橐柋仔袋磅子，閣較食力--的是頭殼內嘛空空。,作者認為散赤是因為按怎？,病,家境,貧惰佮無知。,環境。
72537,音樂是現代人生活中蓋重要的一部份，人毋但會佇歡喜的時陣放音樂，艱苦悲傷抑是壓力誠大的時陣嘛會放音樂。根據英國研究顯示，有一寡仔音樂確實有予人放輕鬆較袂操煩的效果。佇咧聽音樂的時陣，心跳的速度會變慢，血壓嘛會降低，規个人愛睏仔愛睏。壓力大的時陣，會當揣一條慢慢仔的歌，毋過愛會記得袂使若駛車若聽歌，才袂發生危險。,請問文章的主要的意思是啥物？,有一寡仔音樂會當予人放輕鬆,音樂會予人愛睏,音樂會予人誠暢,聽慢慢仔的音樂心臟會跳甲足緊
82537,"甲（查埔的）：你佮意佗一个日本作家？
乙（查某的）：我讀過三島由紀夫的幾本冊，像《饒裕之海》，算有欣賞伊。
甲：是按怎佮意伊的冊咧？
乙：嘛毋知呢，都佮意伊寫的風格。
甲：伊到尾仔若是自殺喔。
乙：這佮伊的冊閣有啥物關係咧？你敢原仔算是伊的冊迷，無哪會知影伊自殺？",佗一个選項是真的？,三島由紀夫是病死的。,《饒裕之海》是三島由紀夫的作品。,查埔的毋知三島由紀夫這个作家。,查某的有明確講出佮意三島由紀夫的理由。
92537,"男：你捌踅過羅東夜市、逢甲夜市、花園夜市、今仔日來到士林夜市，一定愛好好仔食看覓遮的好食點心。這攤臭豆腐佇網路是真有名喔﹗今仔日毋免客氣，我共你請。
女：擋袂牢，味足臭的，一點仔都無芳，你哪會佮意食這﹖真奇怪，竟然閣有遐濟人咧排隊。
男：哪會臭，我感覺誠芳呢！總算著咱矣，誠歡喜。你先食看覓，就知影無咧膨風。食起來按怎﹖會當接受無﹖
女：嗯﹗食一喙就好，雖然逐家攏感覺真好食，毋過我真正是毋敢食呢！",這位小姐今仔日踅的是佗位的夜市？,羅東夜市。,士林夜市。,逢甲夜市。,花園夜市。
102537,"女：你的手機仔關抑未？
男：猶未，是按怎我愛共手機仔關機？
女：因為電影就欲開始演矣，若是看電影的時陣，你的手機仔咧喨，會攪擾著其他觀眾看電影。
男：毋過我無想欲關機，我敢會使共手機仔調做震動模式？
女：會使。另外，電影開始演了後，也莫和我討論劇情，講話也會攪擾著其他觀眾看電影。",請問這位先生應該創啥？,關手機仔喨的聲,共手機仔聲調去上大聲,佮這个小姐開講,揣其他觀眾借話
