漢字,華語
一蕊花,一朵花
紅嬰仔哭甲一身軀汗。,小嬰兒哭得滿身大汗。
一睏仔,一下子
一絲仔,一點點
一流,一流
𪜶兩个生做一模一樣。,他們兩個長得一模一樣。
一生,一生
一向,一向
𪜶兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。,他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。
小等一下。,稍等一會兒。
老母一下死，囡仔就大聲吼。,媽媽一死，小孩子就大聲的哭。
氣一下袂講話。,氣得說不出話來。
你一月日趁偌濟錢？,你一個月賺多少錢？
你毋好一日到暗拋拋走。,你不要一天到晚四處亂跑。
我一世人毋捌做過對不起別人的代誌。,我一輩子不曾做過對不起他人的事。
買果子的錢，一人愛出一半。,買水果的錢，一人要出一半。
塗跤一半擺仔無拭，袂偌垃圾啦！,地板一兩次沒擦，不會多髒啦！
有一半个仔人客真𠢕嫌東嫌西。,有一兩個客人很會嫌東嫌西。
頭家人真好，我一半日仔無去，伊嘛袂按怎。,老闆人真好，我一兩天沒去，他也不會怎樣。
物件毋通掖甲一四界。,東西不要撒得滿地都是。
一旦地動，彼間厝就會倒。,一旦地震，那間房子就會倒。
毀於一旦,毀於一旦
你毋通放蕩過一生。,你不要放蕩過一生。
做教授是我一生的願望。,當教授是我一生的願望。
對阮厝到公司，行路一目𥍉仔就到矣。,從我家裡到公司，走路只要一眨眼的時間就可以到了。
一目𥍉仔大學四年就過去矣。,一轉眼大學四年就過去了。
一來我無時間，二來我無興趣，所以我無欲參加。,一來我沒時間，二來我沒興趣，所以我沒有要參加。
你講過的話，一定愛會記得。,你說過的話一定要記得。
伊食飯攏無一定的時間。,他吃飯時間不固定。
一直向前行，毋免轉斡。,一直向前走過去，不用轉彎。
阿美一直咧掃塗跤，攏無歇睏。,阿美一直在掃地，都沒有休息。
伊對伊的學生一律攏真嚴格。,他對他的學生一律都很嚴格。
伊佮我的看法並無一致。,他跟我的看法並不一致。
伊一面做工，一面讀冊。,他一邊工作，一邊讀書。
一面抹壁雙面光。,用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。
伊食一屑仔飯爾爾。,他吃一點點飯而已。
𪜶一家伙仔對人攏真客氣。,他們一家子對人都很客氣。
一般人攏真愛面子。,一般人都很愛面子。
這擺欲替伊開刀的醫生攏是一粒一的。,這次為他開刀的醫生都是最好的。
阿英佮我是一粒一的好朋友。,阿英和我是最要好的朋友。
伊跤手真緊，穡頭一睏仔就做了矣。,他的動作真快，工作一下子就做完了。
遮的物件伊做一睏仔共伊食了。,這裡的東西他一口氣把它吃完。
眾人的意見伊一概反對。,眾人的意見他一概反對。
祝恁一路平安。,祝福你們一路平安。
加減食一寡。,多少吃一點。
猶有一寡仔物件無整理。,還有一些東西沒整理。
藥仔食落去，到今一對時矣。,藥吃下，到現在二十四小時了。
伊來一霎仔久就轉去矣。,他來一下子就回去了。
你才食一點仔物件哪會飽？,你才吃一點點東西怎麼會飽？
甲乙丙丁,甲乙丙丁
乙等,乙等
甲乙丙丁,甲乙丙丁
出丁,生男孩子
七个人,七個人
七老八老,強調很老
七除八扣,計算時一再折扣，自總數中盡量減除。
十喙九尻川。,形容人多嘴雜。
三教九流,三教九流
飯食了才食果子。,飯吃完再吃水果。
了解,了解
了力,白費力氣
了工,白費功夫
了錢生理無人做。,賠錢生意沒人做。
講了真清楚。,說得很清楚。
洗了無清氣。,洗得不乾淨。
第二,第二
人類,人類
人情,人情
人事,人事
聖人,聖人
軍人,軍人
做牛著拖，做人著磨。,做牛得要拖犁耕田，做人得受生活的折磨。
莫共人講！,不要跟別人說！
予人看無,讓別人瞧不起
好人,好人
讀冊人,讀書人
中人,仲介者
人毋管啦！,我不管啦！
伊人真好。,他待人很好。
人無爽快,身體不舒服
入去,進去
入來,進來
入被,把被子裝進被套裡
收入,收入
入數,入帳
三八婦女節,三八婦女節
八个人,八個人
鉸刀,剪刀
伊昨暝去予人刣幾若刀。,他昨晚被人砍了好幾刀。
伊欲買一刀紙。,他想買一刀紙。
𪜶頭家真𠢕共人刁。,他們的老闆很會為難人。
刁故意,故意
刁工,故意
無力,沒有力氣
氣力,力氣
力量,力量
財力,財力
兵力,兵力
十个人,十個人
十喙九尻川,人多嘴雜
十五音,十五音
十八仔,骰子
十全十美,十分的完美
十字路,十字路口
紅十字會,國際救援組織
卜看覓咧！,試試看囉！
我來卜一下仔卦咧。,我來卜一下卦。
食又欲食，穡又毋做，真害！,吃又要吃，工作又不肯做，真糟糕！
鳥鼠予貓掠了了矣。,老鼠被貓抓光光了。
這个袂使，彼个毋通，全你的意見了了。,這個不行，那個不可以，你的意見真多。
恁新婦人人呵咾。,你媳婦人人稱讚。
十二分的感謝,萬分感謝
時機誠䆀，害我十二生相變透透嘛變無撚。,時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。
二九暝家家戶戶攏咧圍爐。,農曆新年除夕晚上家家戶戶都在圍爐。
查某囡仔十八變。,女大十八變。
了工閣蝕本。,白費工夫又賠錢。比喻賠了夫人又折兵。
割稻仔的人工愈濟就愈緊割了。,越多人割稻就越快完工。
臺灣現此時的人工真貴。,臺灣現在的工資很貴。
恁囝婿的人才生做袂䆀。,你女婿外表長得不錯。
入土為安,入土為安
我刁工來看你。,我專程來看你。
你愈講，伊愈刁工。,你越說，他越是故意和你唱反調。
算命的講，人中長的人較長歲壽。,算命的說，人中長的人壽命比較長。
人有七孔。,人有七竅。
伊是二手，毋是頭手。,他是助手，不是師傅。
